,year,state,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Gender
113,1982,Hawaii,Jennifer,Jessica,Nicole,Crystal,Melissa,girl
114,1982,Idaho,Jennifer,Jessica,Amanda,Sarah,Melissa,girl
115,1982,Illinois,Jennifer,Jessica,Nicole,Amanda,Sarah,girl
116,1982,Indiana,Jennifer,Amanda,Jessica,Sarah,Melissa,girl
117,1982,Iowa,Jennifer,Jessica,Amanda,Sarah,Melissa,girl
118,1982,Kansas,Jennifer,Jessica,Sarah,Amanda,Melissa,girl
119,1982,Kentucky,Amanda,Jessica,Jennifer,Sarah,Ashley,girl
120,1982,Louisiana,Jennifer,Jessica,Ashley,Amanda,Crystal,girl
121,1982,Maine,Jessica,Jennifer,Amanda,Sarah,Nicole,girl
122,1982,Maryland,Jennifer,Jessica,Amanda,Sarah,Nicole,girl
123,1982,Massachusetts,Jennifer,Jessica,Sarah,Melissa,Nicole,girl
124,1982,Michigan,Jennifer,Jessica,Amanda,Sarah,Nicole,girl
125,1982,Minnesota,Jennifer,Jessica,Sarah,Amanda,Melissa,girl
126,1982,Mississippi,Jennifer,Jessica,Amanda,Ashley,Kimberly,girl
127,1982,Missouri,Jennifer,Jessica,Amanda,Sarah,Melissa,girl
128,1982,Montana,Jessica,Jennifer,Amanda,Sarah,Amber,girl
129,1982,Nebraska,Jennifer,Jessica,Sarah,Amanda,Melissa,girl
130,1982,Nevada,Jennifer,Jessica,Amanda,Melissa,Sarah,girl
131,1982,New Hampshire,Jennifer,Jessica,Amanda,Sarah,Melissa,girl
132,1982,New Jersey,Jennifer,Jessica,Melissa,Nicole,Lauren,girl
133,1982,New Mexico,Jennifer,Jessica,Amanda,Crystal,Melissa,girl
134,1982,New York,Jennifer,Jessica,Nicole,Melissa,Elizabeth,girl
135,1982,North Carolina,Jennifer,Jessica,Amanda,Crystal,Ashley,girl
136,1982,North Dakota,Jessica,Jennifer,Amanda,Sarah,Nicole,girl
137,1982,Ohio,Jennifer,Jessica,Amanda,Sarah,Melissa,girl
138,1982,Oklahoma,Jennifer,Amanda,Jessica,Sarah,Amber,girl
139,1982,Oregon,Jennifer,Sarah,Jessica,Amanda,Melissa,girl
140,1982,Pennsylvania,Jennifer,Jessica,Amanda,Melissa,Nicole,girl
141,1982,Rhode Island,Jessica,Jennifer,Melissa,Sarah,Amanda,girl
142,1982,South Carolina,Jennifer,Jessica,Amanda,Ashley,Crystal,girl
143,1982,South Dakota,Jennifer,Jessica,Sarah,Amanda,Melissa,girl
144,1982,Tennessee,Jennifer,Amanda,Jessica,Ashley,Crystal,girl
145,1982,Texas,Jennifer,Jessica,Amanda,Crystal,Melissa,girl
146,1982,Utah,Jennifer,Jessica,Amanda,Melissa,Sarah,girl
147,1982,Vermont,Jessica,Jennifer,Sarah,Amanda,Melissa,girl
148,1982,Virginia,Jennifer,Jessica,Amanda,Sarah,Crystal,girl
149,1982,Washington,Jennifer,Jessica,Sarah,Amanda,Melissa,girl
150,1982,West Virginia,Jessica,Amanda,Jennifer,Sarah,Amy,girl
151,1982,Wisconsin,Jennifer,Jessica,Amanda,Sarah,Nicole,girl
152,1982,Wyoming,Jennifer,Jessica,Amanda,Sarah,Amber,girl
153,1983,Alabama,Jennifer,Ashley,Jessica,Amanda,Crystal,girl
154,1983,Alaska,Jennifer,Jessica,Sarah,Amanda,Michelle,girl
155,1983,Arizona,Jennifer,Jessica,Sarah,Stephanie,Melissa,girl
156,1983,Arkansas,Jennifer,Amanda,Ashley,Jessica,Amber,girl
157,1983,California,Jennifer,Jessica,Nicole,Melissa,Sarah,girl
158,1983,Colorado,Jennifer,Jessica,Sarah,Amanda,Nicole,girl
159,1983,Connecticut,Jennifer,Jessica,Sarah,Nicole,Melissa,girl
160,1983,Delaware,Jennifer,Jessica,Ashley,Amanda,Heather,girl
161,1983,Dist. of Columbia,Jennifer,Jessica,Tiffany,Elizabeth,Kimberly,girl
162,1983,Florida,Jennifer,Jessica,Ashley,Amanda,Melissa,girl
163,1983,Georgia,Jennifer,Jessica,Ashley,Amanda,Tiffany,girl
164,1983,Hawaii,Jennifer,Jessica,Ashley,Melissa,Nicole,girl
165,1983,Idaho,Jennifer,Jessica,Amanda,Ashley,Sarah,girl
166,1983,Illinois,Jennifer,Jessica,Amanda,Nicole,Sarah,girl
167,1983,Indiana,Ashley,Jennifer,Amanda,Jessica,Sarah,girl
168,1983,Iowa,Jennifer,Jessica,Amanda,Ashley,Sarah,girl
169,1983,Kansas,Jennifer,Ashley,Jessica,Amanda,Sarah,girl
170,1983,Kentucky,Amanda,Ashley,Jessica,Jennifer,Sarah,girl
171,1983,Louisiana,Ashley,Jennifer,Jessica,Amanda,Crystal,girl
172,1983,Maine,Jessica,Amanda,Jennifer,Sarah,Ashley,girl
173,1983,Maryland,Jennifer,Jessica,Ashley,Amanda,Sarah,girl
174,1983,Massachusetts,Jennifer,Jessica,Nicole,Sarah,Elizabeth,girl
175,1983,Michigan,Jennifer,Jessica,Amanda,Sarah,Nicole,girl
176,1983,Minnesota,Jennifer,Jessica,Sarah,Amanda,Nicole,girl
177,1983,Mississippi,Jennifer,Ashley,Jessica,Amanda,Kimberly,girl
178,1983,Missouri,Jennifer,Jessica,Amanda,Ashley,Sarah,girl
179,1983,Montana,Jennifer,Jessica,Amanda,Ashley,Sarah,girl
180,1983,Nebraska,Jennifer,Jessica,Amanda,Sarah,Ashley,girl
181,1983,Nevada,Jennifer,Jessica,Amanda,Ashley,Nicole,girl
182,1983,New Hampshire,Jennifer,Jessica,Sarah,Amanda,Melissa,girl
183,1983,New Jersey,Jennifer,Jessica,Nicole,Melissa,Lauren,girl
184,1983,New Mexico,Jennifer,Jessica,Amanda,Crystal,Sarah,girl
185,1983,New York,Jennifer,Jessica,Nicole,Melissa,Amanda,girl
186,1983,North Carolina,Jennifer,Jessica,Ashley,Amanda,Crystal,girl
187,1983,North Dakota,Jessica,Amanda,Jennifer,Ashley,Nicole,girl
188,1983,Ohio,Jennifer,Jessica,Amanda,Ashley,Sarah,girl
189,1983,Oklahoma,Jennifer,Amanda,Ashley,Jessica,Sarah,girl
190,1983,Oregon,Jennifer,Sarah,Jessica,Amanda,Ashley,girl
191,1983,Pennsylvania,Jennifer,Jessica,Amanda,Ashley,Nicole,girl
192,1983,Rhode Island,Jennifer,Jessica,Nicole,Melissa,Amanda,girl
193,1983,South Carolina,Ashley,Jennifer,Jessica,Amanda,Crystal,girl
194,1983,South Dakota,Jennifer,Jessica,Amanda,Sarah,Ashley,girl
195,1983,Tennessee,Ashley,Jennifer,Jessica,Amanda,Heather,girl
196,1983,Texas,Jennifer,Jessica,Ashley,Amanda,Crystal,girl
